n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,3.76132,1.1612,2.3073699999999997,1.4960849999999999,43.1472,43.3373
10,8.83558,1.379155,1.664005,1.77859,47.513149999999996,48.34445
100,28.29495,5.25137,7.8906,8.529945,101.232,107.4965
1000,241.623,16.4073,24.606,27.0447,631.9865,703.0264999999999
