n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,4.98493,2.412885,3.52984,4.16777,75.86435,62.48825
10,7.743650000000001,1.481945,1.882825,2.108325,67.16275,68.0255
100,32.745149999999995,3.6780850000000003,3.9213050000000003,4.339565,114.90700000000001,120.9605
1000,276.9925,13.81045,21.99455,24.2506,606.567,662.7085
