n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,5.544555000000001,1.900655,2.3932200000000003,2.62737,72.40805,72.859
10,8.249945,2.17557,2.73869,2.99093,77.53135,78.69475
100,33.563,3.646045,4.9078599999999994,5.3487100000000005,117.8195,124.418
1000,276.5165,16.6574,25.1704,27.217,548.746,611.1825
