Extractor,Compression Ratio
GCIS,1.3623734989804395
PlainSlp_32Fblc,3.4684197048938903
PlainSlp_FblcFblc,2.680152438448758
PlainSlp_IblcFblc,2.5565569301789894
PoSlp_Iblc,1.0891016775545654
PoSlp_Sd,1.1570082980892682
