Extractor,Compression Ratio
GCIS,3.181586395263445e-05
PlainSlp_32Fblc,5.015058601582605e-06
PlainSlp_FblcFblc,2.4406310949744232e-06
PlainSlp_IblcFblc,2.800497305575567e-06
PoSlp_Iblc,3.2664779116103813e-06
PoSlp_Sd,4.327621865947087e-06
