n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,4.55819,0.8576935,0.9655215,1.11136,30.913800000000002,31.3792
10,6.80235,1.0299,1.175295,2.06809,35.6739,36.8455
100,28.31965,2.3280450000000004,2.8597099999999998,3.54566,82.34285,105.283
1000,242.0365,13.9024,18.5488,23.9443,536.7245,612.21
