n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,5.289429999999999,1.63893,1.88164,1.64844,37.054950000000005,37.385099999999994
10,7.8973700000000004,1.541535,1.83186,2.01953,45.33095,46.3637
100,31.59205,3.093425,4.04987,4.48845,96.90555,104.253
1000,277.284,15.71965,23.0053,29.51735,614.6395,682.9275
