Extractor,Compression Ratio
GCIS,0.64004681
PlainSlp_32Fblc,1.24974746
PlainSlp_FblcFblc,1.03001212
PlainSlp_IblcFblc,0.98808266
PoSlp_Iblc,0.4202328
PoSlp_Sd,0.43145487
