n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,5.32089,1.67557,1.810595,2.101915,51.06635,51.334
10,7.655695,1.27412,1.701985,1.95606,56.311899999999994,57.0945
100,29.42105,2.313195,3.264225,3.807365,104.1105,128.9865
1000,243.93650000000002,10.5729,16.8492,20.2011,570.1125,623.856
