n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,5.720915,1.33628,1.521225,1.6557,38.5708,38.92015000000001
10,10.078859999999999,1.591265,1.866385,2.03618,44.693349999999995,45.88435
100,31.7695,3.1388,4.0537600000000005,4.552665,94.3077,101.8395
1000,250.8555,15.8281,22.8002,26.4039,607.7925,676.0274999999999
