n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,12.03285,2.694305,3.239675,3.4151949999999998,96.6291,96.49725
10,21.706899999999997,3.4651899999999998,4.31531,4.51068,123.5895,124.73949999999999
100,39.20925,8.074745,10.388,11.014050000000001,159.5735,167.29399999999998
1000,268.273,20.35415,26.539099999999998,29.025350000000003,711.856,781.972
