n,GCIS,PlainSlp_32Fblc,PlainSlp_FblcFblc,PlainSlp_IblcFblc,PoSlp_Iblc,PoSlp_Sd
1,6.191645,1.706315,2.0126999999999997,2.1981900000000003,52.65065,53.16045
10,9.010965,1.95691,2.3429,2.5574,58.7599,59.9973
100,33.58605,3.7258500000000003,4.783995,5.32735,115.05449999999999,123.088
1000,265.01599999999996,17.4425,24.1627,27.69955,645.457,716.7505
